Group Name,Group ID,Type,Access,Link
ЧТОБЫ ЧТО? Chat,1986310156,Supergroup,Private,🔒 Private
Ольга Зеренкова | Бизнес Chat,2197565596,Supergroup,Private,🔒 Private
Chat Ukraine Music,1267264158,Supergroup,Private,🔒 Private
Сергій Бабіч та Дивовижний світ веброзробки,1717803842,Supergroup,Public,https://t.me/toisamyibabichat
KINOVARTA | Українське кіно в Празі.,2132703762,Channel,Public,https://t.me/kinovarta_prague
Svitlo na Staromáku 💡 Громадський центр Світло Chat,1695268044,Supergroup,Private,🔒 Private
Коментарі | Школа Кармології,1576460207,Supergroup,Private,🔒 Private
МАР‘ЯНА ЖУРАВЧАК,1904759864,Supergroup,Private,🔒 Private
KOVER | Чат по чешскому языку,1745744280,Supergroup,Public,https://t.me/kover_hezky_cesky
CZ TRIP | Чат,2386699799,Supergroup,Public,https://t.me/cz_trip_chat
Яна🫦,2347114713,Channel,Public,https://t.me/yana_sexyya
Zminu 🤍 Chat,1665172569,Supergroup,Private,🔒 Private
Говоримо про діджитал,1334406851,Supergroup,Private,🔒 Private
CZ FREE | Чат,2323199709,Supergroup,Public,https://t.me/cz_free_chat
IAMPM | Чат каналу Нетехнічне IT,1630679566,Supergroup,Private,🔒 Private
чат Маркетинг в Чехии,2139568129,Supergroup,Private,🔒 Private
Web Academy | Chat,1954219864,Supergroup,Public,https://t.me/web_academy_chat
ЧАТ Янина Богун & Со,1615294498,Supergroup,Private,🔒 Private
Алекс Исупова чат ❤️‍🔥,2043082471,Supergroup,Private,🔒 Private
Solid Telegram Chat,1818986337,Supergroup,Private,🔒 Private
Курс «ТАЗОВЕ ДНО» Chat,1813045348,Supergroup,Private,🔒 Private
Prohood підтримка,1612412438,Supergroup,Private,🔒 Private
